Timestamp,Total Collisions,Current Collision Status,Smoothness Metric,Current Smoothness,Obstacle Clearance,Distance Traveled,Current Velocity,IMU Acceleration Magnitude,Is Rough Terrain,Vertical Roughness,Notes
1736131041,0,0,239.4091,11.9705,2.1584,0.1787,0.1388,8.9669,0,8.6686,Normal operation
1736131042,0,0,432.0331,10.8008,1.7672,0.3831,0.1299,9.4382,0,9.3366,Normal operation
1736131043,0,0,668.3853,11.1398,1.8388,0.4778,0.1062,9.519,0,9.3619,Normal operation
1736131044,0,0,891.9722,11.1497,1.9194,0.7388,0.1754,9.832,0,9.2292,Normal operation
1736131045,0,0,1090.2795,10.9028,1.8709,1.0556,0.2805,9.1067,0,9.0985,Normal operation
1736131046,0,0,1321.9469,11.0162,1.8227,1.4261,0.3316,10.3836,0,7.9602,Normal operation
1736131047,0,0,1540.0484,11.0003,1.9872,1.8163,0.3665,4.6599,0,3.203,Normal operation
1736131048,0,0,1710.7138,10.692,2.0787,2.2567,0.3969,6.5711,0,5.2925,Normal operation
1736131049,0,0,1919.848,10.6658,2.1756,2.6022,0.3785,14.4651,0,13.8443,Normal operation
1736131050,0,0,2120.8601,10.6043,2.399,2.767,0.2467,9.5636,0,9.5325,Normal operation
1736131051,0,0,2354.3085,10.7014,2.5899,2.8773,0.1327,9.63,0,9.6198,Normal operation
1736131052,0,0,2556.0618,10.6503,2.7342,2.9155,0.0686,9.7602,0,9.6047,Normal operation
1736131053,0,0,2744.6873,10.5972,2.8379,2.9614,0.037,9.8157,0,9.6636,Normal operation
1736131054,0,0,2950.2672,10.5744,2.8938,3.0023,0.0401,9.6311,0,9.6221,Normal operation
1736131055,0,0,3148.9659,10.5317,2.9293,3.0522,0.0403,9.6834,0,9.6473,Normal operation
1736131056,0,0,3345.5441,10.4876,2.9527,3.0942,0.0397,9.7997,0,9.6474,Normal operation
1736131057,0,0,3564.1404,10.5137,2.9742,3.2869,0.1071,13.1538,0,10.1713,Normal operation
1736131058,0,0,3798.8068,10.5816,3.0285,3.5715,0.2275,9.1647,0,9.1207,Normal operation
1736131059,0,0,4027.9428,10.6278,3.0634,3.9275,0.3096,7.6321,0,7.6108,Normal operation
1736131060,0,0,4227.7128,10.6224,3.0742,4.22,0.3182,10.4639,0,10.4428,Normal operation
1736131061,0,0,4423.2335,10.5819,3.0736,4.5051,0.2969,10.6319,0,10.6062,Normal operation
1736131062,0,0,4642.4482,10.6235,3.0633,4.7946,0.2854,5.053,0,3.3493,Normal operation
1736131063,0,0,4854.9718,10.6236,3.0179,5.1731,0.3264,11.0127,0,10.8006,Normal operation
1736131064,0,0,5047.3002,10.6036,2.9453,5.4207,0.311,7.7868,0,4.9931,Normal operation
1736131065,0,0,5214.9824,10.5781,2.8891,5.5157,0.1794,9.1399,0,9.0908,Normal operation
1736131066,0,0,5416.139,10.5578,2.8428,5.6038,0.0996,9.7333,0,9.6202,Normal operation
1736131067,0,0,5603.8999,10.5336,2.8024,5.6321,0.0593,9.8039,0,9.6337,Normal operation
1736131068,0,0,5789.391,10.5071,2.762,5.6616,0.0252,9.7843,0,9.6094,Normal operation
1736131069,0,0,5985.6464,10.4827,2.7401,5.7004,0.03,9.8117,0,9.6508,Normal operation
1736131070,0,0,6176.9197,10.4694,2.7446,5.7423,0.0371,9.7574,0,9.5998,Normal operation
1736131071,0,0,6361.0295,10.445,2.745,5.7876,0.042,9.7998,0,9.6354,Normal operation
1736131072,0,0,6564.1335,10.4358,2.7429,5.8248,0.0427,9.797,0,9.6237,Normal operation
1736131073,0,0,6751.5185,10.419,2.7409,5.8618,0.0344,9.736,0,9.5698,Normal operation
1736131074,0,0,6951.3836,10.4063,2.7406,5.9041,0.0365,9.7858,0,9.6216,Normal operation
1736131075,0,0,7135.4246,10.3864,2.7399,5.9545,0.0436,9.679,0,9.6387,Normal operation
1736131076,0,0,7324.1042,10.3741,2.739,6.0165,0.054,9.826,0,9.6695,Normal operation
1736131077,0,0,7529.5274,10.3712,2.7386,6.0803,0.0607,9.6613,0,9.6058,Normal operation
1736131078,0,0,7714.1402,10.3546,2.7381,6.1348,0.0565,9.5548,0,9.525,Normal operation
1736131079,0,0,7905.1202,10.347,2.7378,6.1723,0.0437,10.3427,0,9.6173,Normal operation
1736131080,0,0,8094.982,10.3384,2.7388,6.2067,0.0345,9.7915,0,9.6291,Normal operation
1736131081,0,0,8301.2988,10.3379,2.7391,6.2611,0.0396,9.7909,0,9.6249,Normal operation
1736131082,0,0,8488.3316,10.3264,2.7383,6.3099,0.0477,9.5708,0,9.5391,Normal operation
1736131083,0,0,8684.5881,10.3142,2.7386,6.3453,0.0391,9.8295,0,9.6307,Normal operation
1736131084,0,0,8870.2645,10.3023,2.738,6.3791,0.0328,9.691,0,9.6297,Normal operation
1736131085,0,0,9058.9794,10.2943,2.7362,6.4225,0.0365,9.7905,0,9.5922,Normal operation
1736131086,0,0,9257.3447,10.2859,2.7346,6.4915,0.0516,9.5325,0,9.3891,Normal operation
1736131087,0,0,9454.0892,10.2874,2.7332,6.5561,0.0602,13.4134,0,13.1812,Normal operation
1736131088,0,0,9652.9869,10.2801,2.7303,6.5988,0.0512,9.7589,0,9.6504,Normal operation
1736131089,0,0,9838.6749,10.27,2.7266,6.6368,0.041,9.7962,0,9.6294,Normal operation
1736131090,0,0,10023.551,10.2595,2.7243,6.6898,0.0437,9.7413,0,9.6258,Normal operation
1736131091,0,0,10210.6867,10.2517,2.7221,6.7455,0.0508,9.7455,0,9.5803,Normal operation
1736131092,0,0,10409.6722,10.2457,2.7209,6.8081,0.0594,9.7421,0,9.5749,Normal operation
1736131093,0,0,10592.3868,10.2342,2.7206,6.8436,0.0494,9.9197,0,9.634,Normal operation
1736131094,0,0,10778.5184,10.2263,2.7205,6.8982,0.0428,9.794,0,9.6319,Normal operation
1736131095,0,0,10962.6964,10.2169,2.7198,6.9233,0.0387,9.7999,0,9.6343,Normal operation
1736131096,0,0,11048.4926,10.1269,2.6177,7.8641,0.0184,5.4997,0,5.3685,Normal operation
1736131097,0,0,11789.1675,10.6113,2.4827,8.1035,0.0461,4.2776,0,2.9086,Normal operation
1736131098,0,0,12063.0309,10.6658,2.603,8.4829,0.2161,9.1576,0,6.9525,Normal operation
1736131099,0,0,12291.3309,10.6788,2.6882,8.7974,0.3255,8.7381,0,8.7175,Normal operation
1736131100,0,0,12511.1417,10.6842,2.7382,9.1765,0.3296,7.4333,0,7.3935,Normal operation
1736131101,0,0,12736.0629,10.6936,2.8481,9.6696,0.412,5.7395,0,5.3152,Normal operation
1736131102,0,0,12980.2851,10.7186,2.945,10.1763,0.4707,13.6019,0,13.5926,Normal operation
1736131103,0,0,13201.792,10.7244,2.799,10.4757,0.3566,11.4793,0,8.2516,Normal operation
1736131104,0,0,13474.8544,10.7713,2.6416,10.9052,0.3008,19.6898,1,19.3577,Normal operation
1736131105,0,0,13681.6666,10.7645,2.5279,11.4206,0.4249,8.388,0,8.3229,Normal operation
1736131106,0,0,13974.328,10.8244,2.4179,11.8055,0.4259,13.7357,0,10.8177,Normal operation
1736131107,0,0,14183.9064,10.8274,2.4022,12.1793,0.3638,8.4005,0,8.1594,Normal operation
1736131108,0,0,14394.792,10.8232,2.2981,12.6324,0.3968,8.3002,0,8.0072,Normal operation
1736131109,0,0,14623.0516,10.8399,2.1678,13.2397,0.5223,7.5388,0,7.4089,Normal operation
1736131110,0,0,14808.215,10.8326,2.1367,13.3989,0.4036,15.9372,1,15.0477,Normal operation
1736131111,0,0,14995.6287,10.8272,2.0417,13.5715,0.2042,8.104,0,5.749,Normal operation
1736131112,0,0,15172.4715,10.8066,1.903,13.7814,0.1741,9.2089,0,8.8891,Normal operation
1736131113,0,0,15346.0119,10.7843,1.8709,14.0086,0.2202,9.9044,0,9.5206,Normal operation
1736131114,0,0,15570.327,10.7902,1.9981,14.2342,0.2258,11.7117,0,11.7084,Normal operation
1736131115,0,0,15760.776,10.7803,2.0778,14.437,0.212,9.6449,0,9.1746,Normal operation
1736131116,0,0,15951.9577,10.7638,2.2815,14.6567,0.2072,9.3749,0,9.2032,Normal operation
1736131117,0,0,16188.891,10.7854,2.5214,15.0099,0.2725,11.762,0,8.8714,Normal operation
1736131118,0,0,16384.8644,10.7724,2.745,15.0487,0.1877,9.518,0,9.3827,Normal operation
1736131119,0,0,16665.9092,10.815,2.9018,15.1318,0.058,9.525,0,9.3096,Normal operation
1736131120,0,0,16861.949,10.802,3.0335,15.2157,0.0782,9.7543,0,9.3454,Normal operation
1736131121,0,0,17055.933,10.7881,3.1323,15.2612,0.061,9.3694,0,9.2843,Normal operation
1736131122,0,0,17265.8202,10.7844,3.189,15.3548,0.064,9.5195,0,9.3422,Normal operation
1736131123,0,0,17462.6627,10.7728,3.229,15.5532,0.1388,9.4738,0,8.9794,Normal operation
1736131124,0,0,17591.731,10.7201,3.2469,16.182,0.1149,0.0,0,0.0,Normal operation
1736131125,0,0,17772.9295,10.7001,3.0575,16.6642,0.0218,6.642,0,4.4179,Normal operation
1736131126,0,0,17975.997,10.6936,2.8951,16.6706,0.0,9.7997,0,9.7786,Normal operation
1736131127,0,0,18195.9111,10.6972,2.7332,16.8308,0.072,8.5099,0,8.4258,Normal operation
1736131128,0,0,18403.0146,10.6932,2.5834,17.2374,0.2433,1.4677,0,1.386,Normal operation
1736131129,0,0,18607.2944,10.6877,2.4681,17.4389,0.2594,8.6865,0,6.9616,Normal operation
1736131130,0,0,18788.3918,10.6752,2.5294,17.6578,0.1947,8.9744,0,8.9738,Normal operation
1736131131,0,0,19004.6543,10.6768,2.5598,17.8852,0.2167,9.5573,0,9.5526,Normal operation
1736131132,0,0,19219.8016,10.6777,2.5918,18.0357,0.184,9.7325,0,9.73,Normal operation
1736131133,0,0,19428.1412,10.6748,2.6037,18.2413,0.1724,9.7428,0,8.9886,Normal operation
1736131134,0,0,19662.0363,10.6859,2.5961,18.3518,0.1503,9.7814,0,9.7799,Normal operation
1736131135,0,0,19887.5069,10.6922,2.6051,18.5303,0.1351,9.1309,0,8.6966,Normal operation
1736131136,0,0,20091.4306,10.6869,2.6103,18.687,0.1596,9.6912,0,9.687,Normal operation
1736131137,0,0,20324.7129,10.6972,2.6095,18.8183,0.1407,9.6981,0,9.6954,Normal operation
1736131138,0,0,20544.6678,10.7003,2.6019,18.9239,0.1143,11.3268,0,9.7112,Normal operation
1736131139,0,0,20759.7505,10.7009,2.6033,19.0793,0.1266,5.9635,0,3.9654,Normal operation
1736131140,0,0,20956.6102,10.6921,2.6031,19.2244,0.1446,9.3384,0,9.1958,Normal operation
1736131141,0,0,21172.7538,10.6933,2.6015,19.3759,0.1412,8.1434,0,6.7346,Normal operation
